Episode, Score, Lines, Counts
290, 21, 0, 21
291, 19, 0, 19
292, 23, 0, 23
293, 20, 0, 20
294, 22, 0, 22
295, 20, 0, 20
296, 23, 0, 23
297, 23, 0, 23
298, 23, 0, 23
299, 22, 0, 22
300, 26, 0, 26
301, 17, 0, 17
302, 23, 0, 23
303, 13, 0, 13
304, 22, 0, 22
305, 13, 0, 13
306, 26, 0, 26
307, 24, 0, 24
308, 17, 0, 17
309, 22, 0, 22
310, 19, 0, 19
311, 22, 0, 22
312, 22, 0, 22
313, 15, 0, 15
314, 21, 0, 21
315, 21, 0, 21
316, 22, 0, 22
317, 22, 0, 22
318, 17, 0, 17
319, 24, 0, 24
320, 23, 0, 23
321, 18, 0, 18
322, 23, 0, 23
323, 20, 0, 20
324, 20, 0, 20
325, 17, 0, 17
326, 22, 0, 22
327, 23, 0, 23
328, 26, 0, 26
329, 23, 0, 23
330, 24, 0, 24
331, 28, 0, 28
332, 23, 0, 23
333, 16, 0, 16
334, 27, 0, 27
335, 23, 0, 23
336, 20, 0, 20
337, 20, 0, 20
338, 26, 0, 26
339, 15, 0, 15
340, 24, 0, 24
341, 14, 0, 14
342, 16, 0, 16
343, 20, 0, 20
344, 18, 0, 18
345, 16, 0, 16
346, 21, 0, 21
347, 27, 0, 27
348, 19, 0, 19
349, 19, 0, 19
350, 24, 0, 24
351, 122, 1, 22
352, 23, 0, 23
353, 26, 0, 26
354, 22, 0, 22
355, 13, 0, 13
356, 14, 0, 14
357, 21, 0, 21
358, 20, 0, 20
359, 25, 0, 25
360, 24, 0, 24
361, 27, 0, 27
362, 18, 0, 18
363, 19, 0, 19
364, 20, 0, 20
365, 15, 0, 15
366, 20, 0, 20
367, 26, 0, 26
368, 27, 0, 27
369, 14, 0, 14
370, 24, 0, 24
371, 27, 0, 27
372, 17, 0, 17
373, 26, 0, 26
374, 23, 0, 23
375, 129, 1, 29
376, 22, 0, 22
377, 23, 0, 23
378, 27, 0, 27
379, 23, 0, 23
380, 19, 0, 19
381, 22, 0, 22
382, 18, 0, 18
383, 20, 0, 20
384, 15, 0, 15
385, 23, 0, 23
386, 19, 0, 19
387, 22, 0, 22
388, 28, 0, 28
389, 17, 0, 17
390, 24, 0, 24
391, 24, 0, 24
392, 26, 0, 26
393, 16, 0, 16
394, 23, 0, 23
395, 227, 2, 27
396, 125, 1, 25
397, 29, 0, 29
398, 26, 0, 26
399, 22, 0, 22
400, 20, 0, 20
401, 26, 0, 26
402, 21, 0, 21
403, 22, 0, 22
404, 22, 0, 22
405, 122, 1, 22
406, 27, 0, 27
407, 25, 0, 25
408, 20, 0, 20
409, 22, 0, 22
410, 20, 0, 20
411, 29, 0, 29
412, 21, 0, 21
413, 26, 0, 26
414, 28, 0, 28
415, 11, 0, 11
416, 25, 0, 25
417, 25, 0, 25
418, 23, 0, 23
419, 27, 0, 27
420, 24, 0, 24
421, 26, 0, 26
422, 128, 1, 28
423, 21, 0, 21
424, 123, 1, 23
425, 22, 0, 22
426, 20, 0, 20
427, 126, 1, 26
428, 123, 1, 23
429, 13, 0, 13
430, 24, 0, 24
431, 24, 0, 24
432, 18, 0, 18
433, 19, 0, 19
434, 18, 0, 18
435, 23, 0, 23
436, 29, 0, 29
437, 124, 1, 24
438, 19, 0, 19
439, 21, 0, 21
440, 28, 0, 28
441, 19, 0, 19
442, 22, 0, 22
443, 28, 0, 28
444, 21, 0, 21
445, 22, 0, 22
446, 30, 0, 30
447, 21, 0, 21
448, 23, 0, 23
449, 25, 0, 25
450, 19, 0, 19
451, 26, 0, 26
452, 31, 0, 31
453, 23, 0, 23
454, 19, 0, 19
455, 120, 1, 20
456, 21, 0, 21
457, 26, 0, 26
458, 19, 0, 19
459, 22, 0, 22
460, 27, 0, 27
461, 23, 0, 23
462, 21, 0, 21
463, 30, 0, 30
464, 18, 0, 18
465, 26, 0, 26
466, 19, 0, 19
467, 22, 0, 22
468, 20, 0, 20
