Episode, Score, Lines, Counts
281, 957, 8, 57
282, 955, 8, 55
283, 956, 8, 56
284, 856, 7, 56
285, 1160, 9, 60
286, 1064, 10, 64
287, 960, 9, 60
288, 1356, 9, 56
289, 857, 8, 57
290, 1061, 9, 61
291, 1259, 10, 59
292, 1468, 13, 68
293, 957, 9, 57
294, 858, 8, 58
295, 755, 7, 55
296, 1058, 9, 58
297, 1060, 8, 60
298, 1155, 9, 55
299, 1060, 9, 60
300, 752, 6, 52
301, 958, 8, 58
302, 1059, 9, 59
303, 2264, 14, 64
304, 1056, 9, 56
305, 1360, 10, 60
306, 1161, 10, 61
307, 960, 9, 60
308, 962, 9, 62
309, 859, 8, 59
310, 1264, 11, 64
311, 1060, 8, 60
312, 1461, 10, 61
313, 1268, 12, 68
314, 751, 6, 51
315, 1261, 11, 61
316, 1162, 10, 62
317, 856, 7, 56
318, 952, 8, 52
319, 1461, 10, 61
320, 1360, 10, 60
321, 1463, 12, 63
322, 1161, 10, 61
323, 958, 8, 58
324, 758, 7, 58
325, 758, 7, 58
326, 2571, 15, 71
327, 1164, 11, 64
328, 852, 6, 52
329, 1158, 9, 58
330, 1061, 9, 61
331, 961, 9, 61
332, 1058, 9, 58
333, 655, 6, 55
334, 752, 6, 52
335, 1162, 10, 62
336, 1467, 12, 67
337, 1163, 11, 63
338, 1159, 10, 59
339, 854, 7, 54
340, 1562, 11, 62
341, 1160, 10, 60
342, 1360, 10, 60
343, 853, 7, 53
344, 855, 8, 55
345, 1060, 9, 60
346, 958, 8, 58
347, 1165, 11, 65
348, 1667, 14, 67
349, 652, 6, 52
350, 1058, 8, 58
351, 1461, 10, 61
352, 1365, 11, 65
353, 1260, 10, 60
354, 1054, 8, 54
355, 1362, 11, 62
356, 1165, 11, 65
357, 1557, 11, 57
358, 1258, 10, 58
359, 1157, 8, 57
360, 1360, 10, 60
361, 2170, 14, 70
362, 1061, 9, 61
363, 756, 7, 56
364, 1158, 9, 58
365, 1057, 9, 57
366, 1166, 11, 66
367, 547, 5, 47
368, 1968, 13, 68
369, 1057, 9, 57
370, 1165, 11, 65
371, 1261, 9, 61
372, 1266, 11, 66
373, 1561, 11, 61
374, 1162, 10, 62
375, 1258, 9, 58
376, 1057, 9, 57
377, 1465, 12, 65
378, 1264, 11, 64
379, 1060, 9, 60
380, 954, 8, 54
381, 1062, 9, 62
382, 856, 7, 56
383, 1056, 8, 56
384, 1163, 10, 63
385, 1160, 9, 60
386, 1054, 8, 54
387, 1165, 11, 65
388, 1361, 10, 61
389, 1166, 11, 66
390, 1158, 9, 58
391, 1668, 14, 68
392, 1163, 10, 63
393, 1163, 10, 63
394, 1361, 9, 61
395, 1364, 10, 64
396, 1360, 10, 60
397, 1060, 9, 60
398, 960, 9, 60
399, 1462, 10, 62
400, 1161, 10, 61
401, 1056, 8, 56
402, 1363, 11, 63
403, 1163, 11, 63
404, 859, 8, 59
405, 1363, 11, 63
406, 1058, 9, 58
407, 1663, 12, 63
408, 955, 8, 55
409, 957, 9, 57
410, 958, 8, 58
411, 1157, 8, 57
412, 1257, 9, 57
413, 854, 7, 54
414, 1060, 9, 60
415, 1063, 10, 63
416, 1263, 11, 63
417, 1260, 10, 60
418, 1265, 11, 65
419, 2156, 12, 56
420, 1155, 8, 55
421, 1059, 9, 59
422, 856, 8, 56
423, 1159, 9, 59
